"ask","answer","committer","gid","deleted","time"
"问题","回答",1039171891,0,0,2016-03-17 10:58:37
"我爱你","劳资爱你个串串！",1163512527,0,0,2016-03-17 10:58:37
"嗯","嗯哼？",287280953,0,0,2016-03-17 10:58:37
"我是谁","250",287280953,0,0,2016-03-17 10:58:37
"在","恩，在的",287280953,0,0,2016-03-17 10:58:37
"滚","88，不理你了",287280953,0,0,2016-03-17 10:58:37
"滚","好吧好吧~",287280953,0,0,2016-03-17 10:58:37
"哈哈哈","哈哈哈哈哈",287280953,0,0,2016-03-17 10:58:37
"呵呵","呵呵呵",287280953,0,0,2016-03-17 10:58:37
"呵呵","呵呵呵",287280953,0,0,2016-03-17 10:58:37
"呵呵呵","呵呵呵呵",287280953,0,0,2016-03-17 10:58:37
"呵呵呵呵和","呵什么呵",287280953,0,0,2016-03-17 10:58:37
"你认识我吗","嗯，当然",10000,0,0,2016-03-17 10:58:37
"你认识我吗","嗯，当然",10000,0,0,2016-03-17 10:58:37
"你今年多大","芳龄250",815759005,0,0,2016-03-17 10:58:37
"你好","嗯，你好！",10000,0,0,2016-03-17 10:58:37
"在吗","嗯，我24小时在线哦",10000,0,0,2016-03-17 10:58:37
"你好吗","I am fine,thank you,and you?",10000,0,0,2016-03-17 10:58:37
"什么意思","意思意思，没有意思",10000,0,0,2016-03-17 10:58:37
"怎么教","回复学习两个字就行啦",10000,0,0,2016-03-17 10:58:37
"嗯","嗯哼？",10000,0,0,2016-03-17 10:58:37
"我的","你的就是我的，我的还是我的！~",10000,0,0,2016-03-17 10:58:37
"草","泥马",10000,0,0,2016-03-17 10:58:37
"谁是你的主人","你说谁正和我聊天呢",10000,0,0,2016-03-17 10:58:37
"你在干什么啊","正无聊呢，想你中",10000,0,0,2016-03-17 10:58:37
"你在干什么","正无聊呢，想你中",10000,0,0,2016-03-17 10:58:37
"在干什么","正无聊呢，想你中",10000,0,0,2016-03-17 10:58:37
"拜拜","谢谢惠顾，下次再来",10000,0,0,2016-03-17 10:58:37
"拜拜先下了","88",10000,0,0,2016-03-17 10:58:37
"88","主人再见！我好好会看家的！",10000,0,0,2016-03-17 10:58:37
"886","主人再见！我好好会看家的！",10000,0,0,2016-03-17 10:58:37
